SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1349.00,1375.70,1335.45,1341.95,1341.95,1348.15,430,3988,5401524.00,XD
500003,AEGIS LOGIS ,A ,Q,285.25,291.35,285.20,288.80,288.80,285.20,172,5501,1589765.00,
500008,AMAR RAJA BA,A ,Q,843.90,875.00,843.70,858.20,856.65,839.40,874,22958,19778651.00,
500009,A.SARABHAI  ,X ,Q,13.52,13.90,13.52,13.71,13.90,13.55,99,27509,374466.00,
500010,HDFC        ,A ,Q,1840.00,1860.90,1840.00,1857.85,1855.95,1855.95,944,277531,511864247.00,
500012,ANDHRA PETRO,X ,Q,61.00,61.50,60.05,60.10,60.10,60.45,121,29023,1759669.00,
500013,ANSAL INFRAS,B ,Q,21.90,22.30,21.70,21.85,21.85,21.25,104,18712,411426.00,
500014,APPLE FINANC,XT,Q,2.52,2.52,2.40,2.40,2.50,2.52,14,2312,5572.00,
500016,ARUNA HOTEL ,XT,Q,20.99,20.99,20.99,20.99,20.99,20.99,8,1073,22522.00,
500020,BOM DYEING  ,A ,Q,278.05,294.90,275.55,290.10,290.10,278.35,5311,742744,212072936.00,
500023,ASIANHOTNR  ,T ,Q,312.50,315.00,302.00,313.10,315.00,308.25,6,29,8997.00,
500024,ASSAMCO     ,B ,Q,4.16,4.34,4.15,4.29,4.29,4.24,94,130967,563534.00,
500027,ATUL LTD.   ,A ,Q,2779.00,3090.00,2752.00,2925.40,2925.40,2757.45,2384,20289,59827681.00,
500028,ATV PROJECTS,XT,Q,9.06,10.00,9.06,9.69,9.70,9.53,34,12960,119619.00,
500029,AUTOLITE(I) ,B ,Q,75.75,76.95,73.90,74.55,74.05,76.05,98,6905,518252.00,
500031,BAJAJ ELECT.,A ,Q,651.00,663.75,650.15,653.30,653.30,650.40,980,28757,18888985.00,
500032,BAJAJHIND   ,A ,Q,8.40,8.74,8.33,8.51,8.51,8.39,857,838416,7170854.00,
500033,FORCE MOTR  ,B ,Q,3051.60,3088.00,3012.50,3022.55,3022.55,3050.60,1684,13275,40474272.00,
500034,BAJFINANCE  ,A ,Q,1901.55,1915.35,1894.90,1904.65,1902.00,1897.25,912,18696,35583861.00,
500038,BALRAM.CHINI,A ,Q,65.45,69.25,64.80,66.85,66.85,64.60,3582,868350,58323132.00,
500039,BANCO PROD. ,B ,Q,236.00,236.00,230.00,230.90,230.90,232.45,220,8900,2079402.00,
500040,CENTURY TEXT,A ,Q,1237.00,1255.95,1227.25,1249.80,1249.80,1220.50,1373,43915,54710648.00,
500041,BANNARI AMAN,B ,Q,1715.00,1717.00,1715.00,1717.00,1717.00,1718.00,2,25,42907.00,
500042,BASF INDIA  ,B ,Q,1999.80,2075.00,1982.20,2053.85,2063.80,1978.15,326,1723,3487909.00,
500043,BATA INDIA  ,A ,Q,788.80,797.00,782.55,793.25,793.25,780.60,741,29466,23321571.00,
500048,BEML LTD    ,A ,Q,1045.00,1076.00,1040.25,1061.95,1061.95,1040.85,1107,27077,28685696.00,
500049,BHARAT ELECT,A ,Q,131.20,134.60,131.00,133.20,133.20,131.10,2161,943160,125205569.00,
500052,BHANSALI ENG,B ,Q,200.15,204.40,197.00,198.75,198.75,198.80,1318,189842,38295040.00,
500055,BHUSH STEEL ,B ,Q,24.10,26.40,23.90,23.90,23.90,26.55,3651,1565950,38174809.00,
500058,BIHAR SPONGE,XT,Q,1.62,1.62,1.48,1.48,1.48,1.55,10,1259,1871.00,
500059,BINANI IND. ,B ,Q,88.00,89.90,86.95,87.30,87.30,88.35,159,9439,833699.00,
500060,BIRLACABLE  ,B ,Q,83.00,86.00,81.80,84.05,84.05,84.05,163,14839,1247895.00,
500067,BLUE STAR   ,A ,Q,808.95,810.00,791.30,806.00,806.00,792.65,238,3449,2774461.00,
500068,DISA INDIA  ,X ,Q,6148.00,6148.00,6048.00,6048.00,6048.00,6000.00,4,13,79172.00,
500069,BNK CAPITAL ,X ,Q,99.00,103.25,99.00,99.00,99.00,98.10,26,3205,318919.00,
500074,BPL LTD.    ,B ,Q,82.65,84.35,82.10,82.85,82.85,82.50,645,81794,6815036.00,
500078,OAL         ,X ,Q,849.90,849.90,820.00,823.70,825.00,825.10,78,2003,1657566.00,
500083,CENTURY EXT ,B ,Q,5.00,5.69,5.00,5.31,5.38,5.35,20,8872,47068.00,
500084,CESC LTD.   ,A ,Q,1068.75,1079.05,1057.00,1061.05,1061.05,1064.75,1038,26266,28033565.00,
